Category,SubCategory,Customer,Created Date Time,Case ID,Closure Description,Status,Customer Payroll No,Priority,Description - Rich Text,Short Description,Service,Source,Owned By,Owned By Team
Contract,Advice and Guidance,[redacted],25/09/2022 11:06,321663,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@hotmail.com\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHi My hours were reduced from 27.5 to 20 hours for the 2022/2023 school year. However, my payslip still shows 27.5 hours which isn’t correct. Would you be able to check this please? My employee reference is 1234567. My address is DOB: redacted Thank you Leanne O’Donnell",[redacted],Employee Relations,E-mail,[redacted],askHR Advisor
Personal Details,Payroll Number,[redacted],01/11/2022 17:48,325975,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk; (HSCP Staffing) hscpstaffing@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHello, I have a new home care responder redacted. We are unsure of his payroll number as it is recorded as \r\n1234567 on an email from Staffing and on his contract of employment, however, it's recorded as\r\n1234567 on people manager and his AL form\r\n \r\nCould you please advise which number we should use for him\r\nThank you \r\n \r\nKind Regards\r\nredacted\r\nCare Team Coordinator - ARCH\r\n",[redacted],Employee Relations,E-mail,[redacted],askHR Advisor
ESS,User Assistance,[redacted],23/11/2022 12:31,328410,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@sky.com\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHi redacted, I’m sorry but why are you closing the case when it has not been resolved . I am still getting a blank screen when trying to view my payslip on my iPad which is the device I have always used . I will soon be time to view my November payslip and this has not been resolved. Regards redacted Sent from my iPad",[redacted],HR Systems,E-mail,[redacted],askHR Advisor
ESS,User Assistance,[redacted],28/11/2022 14:50,329146,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHi,\r\n \r\nredacted can not access her ESS Account - can you please look into the reasoning for this.\r\n \r\n \r\nBest Regards\r\n \r\nredacted\r\nVenue & Assets Co-Ordinator\r\nLive Life Aberdeenshire\r\n \r\nPeterhead Leisure & Community Centre\r\nBalmoor Terrace\r\nPeterhead\r\nAB42 1EP\r\n \r\nT:01467 469813\r\nE:redacted@aberdeenshire.gov.uk\r\nW:http://www.livelifeaberdeenshire.org.uk/",[redacted],HR Systems,E-mail,[redacted],askHR Advisor
Current Vacancy,Interview,[redacted],06/12/2022 11:18,330130,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@gmail.com\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHi \r\nPlease kindly resend your office address,I have interview with your office by 2 45 , I need the complete address please",[redacted],Recruitment,E-mail,[redacted],askHR Advisor
Pay Award,Advice and Guidance,[redacted],09/12/2022 12:54,330588,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nI was wondering if you could give me some guidance on how the Al will be implemented. Or has this still to be decided.\r\nI took this statement from Acadia.\r\nMany thanks, redacted\r\n \r\n \r\nThe pay award also includes: \r\n \r\nAn additional day of annual leave (pro-rated for part-time employees). Separate guidance will be issued on how this additional day will be managed in respect of the current leave year.\r\n \r\n \r\nredacted\r\nAdmin Assistant\r\nEducation & Children's Services\r\n \r\nAberdeenshire Council\r\nCentral Buchan Lifelong Learning & Leisure\r\nMintlaw Academy\r\nMintlaw  AB42 5FN                                                                 \r\nSkype Tel redacted (internal redacted) Email redacted@aberdeenshire.gov.uk\r\nI work part-time, my hours of work are Tues - Fri 7.45 am till 3.30 pm (Work pattern may be variable)\r\n \r\nChanging Lives Strengthening Communities\r\n\r\nPlease think about the environment before printing. if you do need to print this email, please recycle the paper afterward.",[redacted],Pay,E-mail,[redacted],askHR Advisor
Current Vacancy,Interview,[redacted],16/12/2022 10:59,331203,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nGood morning,\r\n \r\nPlease see below candidate to be removed from the interview list.\r\n \r\nKindest Regards\r\n \r\nredacted\r\nredacted\r\nredacted\r\nredacted\r\nHigh Street\r\nStonehaven \r\nredacted\r\nMob: redacted\r\nTel:redacted\r\n \r\n  \r\n \r\nFrom: redacted <redacted@yahoo.com> \r\nSent: 15 December 2022 08:29\r\nTo: redacted <redacted@aberdeenshire.gov.uk>\r\nSubject: Interview\r\n \r\nGood morning, \r\nAs I have taken on another role I will no longer be attending the interview on Monday 19th. Thank you for your consideration. \r\nredacted \r\n\r\n\r\nSent from Yahoo Mail for iPhone",[redacted],Recruitment,E-mail,[redacted],askHR Advisor
Current Vacancy,Request for/passing on information,[redacted],30/12/2022 11:08,332208,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@hotmail.co.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\nHi there could someone give me a call please, I was awaiting an email to update my disclosure Scotland pvg which I have just received but it’s one for a new application and says I shouldn’t fill it out if I am already a member, which I am, I just need to update. I need to know what to do now please. Thanks redacted Employee number 1234567 Sent from my iPhone",[redacted],Recruitment,E-mail,[redacted],askHR Advisor
Other HR Policies,Advice and Guidance,[redacted],10/01/2023 10:40,332901,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@outlook.com\r\nTo: \r\nCC: \r\n \r\nHi there, \r\n \r\nWe are working on a project and we need you to give us a quote. Please let me know when you are in office and if you are able to take on this.\r\n \r\nThanks,\r\n",[redacted],Employee Relations,E-mail,[redacted],askHR Advisor
Sickness,Advice and Guidance,[redacted],10/01/2023 12:56,332952,[redacted],Closed,,2,"Please categorise this call auto-logged from an email.\r\n \r\nFrom: (redacted) redacted@aberdeenshire.gov.uk\r\nTo: (Ask HR) askhr@aberdeenshire.gov.uk\r\nCC: \r\n \r\ngood afternoon , i have entered wrong date of returning to work after a period of sickness , i had entered todays date as still being off sick  but back at work today , can you amend please \r\nredacted",[redacted],Employee Relations,E-mail,[redacted],askHR Advisor
